date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2026-03-16,sh.000001,4092.2491,4096.1333,4048.0866,4084.7858,4095.4485,73222709800.0,1037223833962.6,3.0,1.518592,1.0,-0.260355,0.0,0.0,0.0,0.0,0.0
2026-03-17,sh.000001,4086.2953,4108.4,4049.5801,4049.9073,4084.7858,67877122400.0,951228129260.7,3.0,1.396567,1.0,-0.853864,0.0,0.0,0.0,0.0,0.0
2026-03-18,sh.000001,4053.3052,4065.3734,4023.0295,4062.9844,4049.9073,62387310200.0,876327491359.6,3.0,1.285203,1.0,0.322899,0.0,0.0,0.0,0.0,0.0
2026-03-19,sh.000001,4028.542,4042.0221,3994.1651,4006.5523,4062.9844,66725542200.0,935264956106.7,3.0,1.381806,1.0,-1.388932,0.0,0.0,0.0,0.0,0.0
2026-03-20,sh.000001,4004.5732,4022.7033,3955.7113,3957.0527,4006.5523,66679838700.0,964863108628.7,3.0,1.373233,1.0,-1.235466,0.0,0.0,0.0,0.0,0.0
2026-03-23,sh.000001,3904.9513,3906.622,3794.6844,3813.2829,3957.0527,80473885000.0,1086248286013.6,3.0,1.662961,1.0,-3.633255,0.0,0.0,0.0,0.0,0.0
2026-03-24,sh.000001,3849.6312,3881.4236,3807.9937,3881.2797,3813.2829,68062203900.0,931418842711.4,3.0,1.403684,1.0,1.783156,0.0,0.0,0.0,0.0,0.0
2026-03-25,sh.000001,3892.269,3933.0613,3891.8159,3931.8375,3881.2797,68834362600.0,967854261244.5,3.0,1.412118,1.0,1.302606,0.0,0.0,0.0,0.0,0.0
2026-03-26,sh.000001,3924.9621,3937.1041,3880.5729,3889.0835,3931.8375,61597398100.0,848361335072.3,3.0,1.268298,1.0,-1.08738,0.0,0.0,0.0,0.0,0.0
2026-03-27,sh.000001,3852.0936,3924.1075,3852.0936,3913.7238,3889.0835,56134296300.0,799696430885.6,3.0,1.152676,1.0,0.633576,0.0,0.0,0.0,0.0,0.0
2026-03-30,sh.000001,3884.2769,3924.2893,3872.7756,3923.2869,3913.7238,59558947900.0,839822434665.3,3.0,1.232687,1.0,0.244348,0.0,0.0,0.0,0.0,0.0
2026-03-31,sh.000001,3924.067,3948.8107,3891.8605,3891.8605,3923.2869,60670498300.0,891945339553.7,3.0,1.257235,1.0,-0.801022,0.0,0.0,0.0,0.0,0.0
2026-04-01,sh.000001,3939.5658,3955.943,3929.9213,3948.5521,3891.8605,56461159800.0,897278213909.0,3.0,1.170029,1.0,1.456671,0.0,0.0,0.0,0.0,0.0
2026-04-02,sh.000001,3940.7989,3952.5761,3900.1164,3919.2852,3948.5521,54421283500.0,811896566971.7,3.0,1.128379,1.0,-0.741206,0.0,0.0,0.0,0.0,0.0
2026-04-03,sh.000001,3927.5923,3929.5285,3871.3004,3880.0967,3919.2852,49269908200.0,713830332060.1,3.0,1.021327,1.0,-0.999889,0.0,0.0,0.0,0.0,0.0
2026-04-07,sh.000001,3884.1505,3902.6065,3875.6843,3890.1645,3880.0967,47361507600.0,723905837261.2,3.0,0.984426,1.0,0.259473,0.0,0.0,0.0,0.0,0.0
2026-04-08,sh.000001,3930.2507,3994.9975,3926.2489,3994.9975,3890.1645,64413535200.0,1074211701270.4,3.0,1.336887,1.0,2.694822,0.0,0.0,0.0,0.0,0.0
2026-04-09,sh.000001,3967.6296,3979.1271,3955.2458,3966.1712,3994.9975,54156980100.0,902481840100.8,3.0,1.123633,1.0,-0.72156,0.0,0.0,0.0,0.0,0.0
2026-04-10,sh.000001,3985.464,4011.0243,3979.814,3986.2247,3966.1712,54641554100.0,955664107213.6,3.0,1.130045,1.0,0.505614,0.0,0.0,0.0,0.0,0.0
2026-04-13,sh.000001,3971.1985,3991.2622,3966.1981,3988.558,3986.2247,54578176800.0,919436481788.0,3.0,1.127436,1.0,0.058534,0.0,0.0,0.0,0.0,0.0
2026-04-14,sh.000001,4006.7267,4026.6256,3992.4071,4026.6256,3988.558,57025900300.0,998435132019.7,3.0,1.17915,1.0,0.95442,0.0,0.0,0.0,0.0,0.0
2026-04-15,sh.000001,4039.4711,4050.6208,4020.9039,4027.2095,4026.6256,56945858900.0,1028851871452.4,3.0,1.178519,1.0,0.014501,0.0,0.0,0.0,0.0,0.0
2026-04-16,sh.000001,4030.1378,4057.8314,4028.9086,4055.5468,4027.2095,54587696700.0,976565489654.5,3.0,1.127513,1.0,0.703646,0.0,0.0,0.0,0.0,0.0
2026-04-17,sh.000001,4043.3813,4058.6041,4038.4287,4051.4254,4055.5468,54879140600.0,1013520660231.1,3.0,1.134918,1.0,-0.101624,0.0,0.0,0.0,0.0,0.0
2026-04-20,sh.000001,4053.3745,4083.1902,4051.685,4082.1271,4051.4254,58984137900.0,1084578006427.0,3.0,1.222608,1.0,0.7578,0.0,0.0,0.0,0.0,0.0
2026-04-21,sh.000001,4075.8454,4086.6369,4062.1326,4085.0766,4082.1271,57668945000.0,1033349016214.4,3.0,1.188956,1.0,0.072254,0.0,0.0,0.0,0.0,0.0
2026-04-22,sh.000001,4074.8131,4106.8441,4074.6796,4106.2581,4085.0766,58246634600.0,1093625892373.6,3.0,1.204568,1.0,0.518509,0.0,0.0,0.0,0.0,0.0
2026-04-23,sh.000001,4110.7883,4114.8443,4070.4598,4093.2501,4106.2581,67116609200.0,1234396207619.2,3.0,1.386701,1.0,-0.316785,0.0,0.0,0.0,0.0,0.0
2026-04-24,sh.000001,4081.0326,4092.6131,4061.1453,4079.9004,4093.2501,60503179800.0,1143000195131.0,3.0,1.250873,1.0,-0.326139,0.0,0.0,0.0,0.0,0.0
2026-04-27,sh.000001,4074.8109,4092.8305,4071.0803,4086.3442,4079.9004,58995086700.0,1136051921709.8,3.0,1.221455,1.0,0.15794,0.0,0.0,0.0,0.0,0.0
2026-04-28,sh.000001,4076.1431,4090.2014,4062.872,4078.6374,4086.3442,60050749800.0,1113955561935.5,3.0,1.245537,1.0,-0.188599,0.0,0.0,0.0,0.0,0.0
2026-04-29,sh.000001,4061.8221,4112.1518,4061.8221,4107.5144,4078.6374,61422145100.0,1126615371064.6,3.0,1.278154,1.0,0.708006,0.0,0.0,0.0,0.0,0.0
2026-04-30,sh.000001,4107.2974,4118.7552,4100.9656,4112.1593,4107.5144,65691272800.0,1276194739057.5,3.0,1.367607,1.0,0.113083,0.0,0.0,0.0,0.0,0.0
2026-05-06,sh.000001,4135.4505,4166.1469,4129.9108,4160.1737,4112.1593,70117748000.0,1465903193400.0,3.0,1.453025,1.0,1.16762,0.0,0.0,0.0,0.0,0.0
2026-05-07,sh.000001,4168.4467,4180.2099,4163.1365,4180.0922,4160.1737,68557424900.0,1359099509978.5,3.0,1.415769,1.0,0.47879,0.0,0.0,0.0,0.0,0.0
